,state_abbrev,county,latitude,longitude
68,AK,Aleutians West [4],51.959447,178.338813
69,AK,Anchorage,61.177549,–149.274354
70,AK,Bethel [4],60.928916,–160.153350
71,AK,Bristol Bay,58.731373,–156.986612
72,AK,Denali,63.682732,–150.026719
73,AK,Dillingham [4],59.824816,–158.602233
74,AK,Fairbanks North Star,64.690832,–146.599867
75,AK,Haines,59.099905,–135.578102
76,AK,Hoonah-Angoon [4],58.076434,–135.185100
77,AK,Juneau,58.3727,–134.178781
78,AK,Kenai Peninsula,60.366373,–152.321973
79,AK,Ketchikan Gateway,55.449938,–131.106685
80,AK,Kodiak Island,57.553611,–153.630911
81,AK,Lake and Peninsula,58.205065,–156.705188
82,AK,Matanuska-Susitna,62.182174,–149.407974
83,AK,Nome [4],64.783686,–164.188912
84,AK,North Slope,69.449343,–153.472830
85,AK,Northwest Arctic,67.005066,–160.021086
86,AK,Petersburg [4],56.639612,–133.527996
87,AK,Prince of Wales-Hyder [4],55.415683,–132.875734
88,AK,Sitka,57.142509,–135.332624
89,AK,Skagway,59.575097,–135.335418
90,AK,Southeast Fairbanks [4],63.864997,–143.218628
91,AK,Valdez-Cordova [4],61.34984,–145.023141
92,AK,Wade Hampton [4],62.283174,–163.190950
93,AK,Wrangell,56.279121,–132.040326
94,AK,Yakutat,59.999083,–140.239593
95,AK,Yukon-Koyukuk [4],65.376131,–151.576855
96,AZ,Apache,35.385845,–109.493747
97,AZ,Cochise,31.881793,–109.754120
98,AZ,Coconino,35.829692,–111.773728
99,AZ,Gila,33.789618,–110.811870
100,AZ,Graham,32.931828,–109.878310
101,AZ,Greenlee,33.238872,–109.242323
102,AZ,La Paz,33.727625,–114.038793
103,AZ,Maricopa,33.346541,–112.495534
104,AZ,Mohave,35.717705,–113.749689
105,AZ,Navajo,35.390934,–110.320908
106,AZ,Pima,32.128237,–111.783018
107,AZ,Pinal,32.91891,–111.367257
108,AZ,Santa Cruz,31.525904,–110.845190
109,AZ,Yavapai,34.630044,–112.573745
110,AZ,Yuma,32.773942,–113.910905
111,AR,Arkansas,34.289574,–91.376547
112,AR,Ashley,33.190835,–91.772267
113,AR,Baxter,36.28071,–92.330438
114,AR,Benton,36.337825,–94.256187
115,AR,Boone,36.304308,–93.079204
116,AR,Bradley,33.463819,–92.168164
117,AR,Calhoun,33.56046,–92.513879
118,AR,Carroll,36.337774,–93.541663
119,AR,Chicot,33.267139,–91.297158
120,AR,Clark,34.053312,–93.176205
121,AR,Clay,36.367302,–90.418704
122,AR,Cleburne,35.566288,–92.059974
123,AR,Cleveland,33.893201,–92.188714
124,AR,Columbia,33.21507,–93.226901
125,AR,Conway,35.265702,–92.689248
126,AR,Craighead,35.828268,–90.630411
127,AR,Crawford,35.583041,–94.236224
128,AR,Crittenden,35.211878,–90.315331
129,AR,Cross,35.291259,–90.773894
130,AR,Dallas,33.967823,–92.653999
131,AR,Desha,33.828748,–91.244427
132,AR,Drew,33.587242,–91.722778
133,AR,Faulkner,35.146356,–92.324654
134,AR,Franklin,35.508573,–93.887672
135,AR,Fulton,36.383443,–91.819239
136,AR,Garland,34.578861,–93.146915
137,AR,Grant,34.288063,–92.423984
138,AR,Greene,36.119922,–90.565241
139,AR,Hempstead,33.728611,–93.665809
140,AR,Hot Spring,34.315177,–92.944147
141,AR,Howard,34.083179,–93.990988
142,AR,Independence,35.737499,–91.559942
143,AR,Izard,36.094879,–91.913625
144,AR,Jackson,35.596605,–91.223178
145,AR,Jefferson,34.277696,–91.930701
146,AR,Johnson,35.573359,–93.466322
147,AR,Lafayette,33.24066,–93.611643
148,AR,Lawrence,36.041098,–91.101153
149,AR,Lee,34.77975,–90.779288
150,AR,Lincoln,33.957665,–91.727624
151,AR,Little River,33.699497,–94.229774
152,AR,Logan,35.21855,–93.720563
153,AR,Lonoke,34.755114,–91.894132
154,AR,Madison,36.012545,–93.724053
155,AR,Marion,36.266656,–92.678588
156,AR,Miller,33.305505,–93.901509
157,AR,Mississippi,35.766943,–90.052209
158,AR,Monroe,34.679513,–91.203314
159,AR,Montgomery,34.545652,–93.664147
160,AR,Nevada,33.666699,–93.305072
161,AR,Newton,35.910063,–93.215084
162,AR,Ouachita,33.591158,–92.878418
163,AR,Perry,34.946363,–92.926877
164,AR,Phillips,34.425842,–90.848386
165,AR,Pike,34.158191,–93.658659
166,AR,Poinsett,35.568981,–90.680595
167,AR,Polk,34.490915,–94.230884
168,AR,Pope,35.455297,–93.031535
169,AR,Prairie,34.828225,–91.557200
170,AR,Pulaski,34.773988,–92.316515
171,AR,Randolph,36.341299,–91.028441
172,AR,St Francis,35.014438,–90.742199
173,AR,Saline,34.648525,–92.674463
174,AR,Scott,34.858869,–94.063641
175,AR,Searcy,35.90966,–92.699351
176,AR,Sebastian,35.196981,–94.274989
177,AR,Sevier,33.994608,–94.243290
178,AR,Sharp,36.173399,–91.471069
179,AR,Stone,35.856989,–92.140494
180,AR,Union,33.168219,–92.598145
181,AR,Van Buren,35.582959,–92.515977
182,AR,Washington,35.971209,–94.218417
183,AR,White,35.254722,–91.753158
184,AR,Woodruff,35.189071,–91.244418
185,AR,Yell,34.997713,–93.408303
186,CA,Alameda,37.648081,–121.913304
187,CA,Alpine,38.61761,–119.798999
188,CA,Amador,38.44355,–120.653856
189,CA,Butte,39.665959,–121.601919
190,CA,Calaveras,38.187844,–120.555115
191,CA,Colusa,39.177739,–122.237563
192,CA,Contra Costa,37.919479,–121.951543
193,CA,Del Norte,41.749903,–123.980998
194,CA,El Dorado,38.785532,–120.534398
195,CA,Fresno,36.761006,–119.655019
196,CA,Glenn,39.602546,–122.401700
197,CA,Humboldt,40.706673,–123.925818
198,CA,Imperial,33.040816,–115.355395
199,CA,Inyo,36.561977,–117.403927
200,CA,Kern,35.346629,–118.729506
201,CA,Kings,36.072478,–119.815530
202,CA,Lake,39.094802,–122.746757
203,CA,Lassen,40.721089,–120.629931
204,CA,Los Angeles,34.196398,–118.261862
205,CA,Madera,37.210039,–119.749852
206,CA,Marin,38.051817,–122.745974
207,CA,Mariposa,37.570034,–119.912860
208,CA,Mendocino,39.432388,–123.442881
209,CA,Merced,37.194806,–120.722802
210,CA,Modoc,41.592919,–120.718370
211,CA,Mono,37.915836,–118.875167
212,CA,Monterey,36.240107,–121.315573
213,CA,Napa,38.507351,–122.325995
214,CA,Nevada,39.295191,–120.773446
215,CA,Orange,33.675687,–117.777207
216,CA,Placer,39.062032,–120.722718
217,CA,Plumas,39.99517,–120.829516
218,CA,Riverside,33.729828,–116.002239
219,CA,Sacramento,38.450011,–121.340441
220,CA,San Benito,36.610702,–121.085296
221,CA,San Bernardino,34.85722,–116.181197
222,CA,San Diego,33.023604,–116.776117
223,CA,San Francisco,37.727239,–123.032229
224,CA,San Joaquin,37.935034,–121.272237
225,CA,San Luis Obispo,35.385227,–120.447540
226,CA,San Mateo,37.414664,–122.371542
227,CA,Santa Barbara,34.537378,–120.038485
228,CA,Santa Clara,37.220777,–121.690622
229,CA,Santa Cruz,37.012488,–122.007205
230,CA,Shasta,40.760522,–122.043550
231,CA,Sierra,39.576925,–120.521993
232,CA,Siskiyou,41.587986,–122.533287
233,CA,Solano,38.267226,–121.939594
234,CA,Sonoma,38.532574,–122.945194
235,CA,Stanislaus,37.562384,–121.002656
236,CA,Sutter,39.035257,–121.702758
237,CA,Tehama,40.126156,–122.232276
238,CA,Trinity,40.647724,–123.114404
239,CA,Tulare,36.230453,–118.780542
240,CA,Tuolumne,38.021451,–119.964708
241,CA,Ventura,34.358742,–119.133143
242,CA,Yolo,38.679268,–121.903178
243,CA,Yuba,39.270026,–121.344280
244,CO,Adams,39.874325,–104.331872
245,CO,Alamosa,37.568442,–105.788041
246,CO,Arapahoe,39.644632,–104.331733
247,CO,Archuleta,37.202395,–107.050863
248,CO,Baca,37.303144,–102.535457
249,CO,Bent,37.931891,–103.077584
250,CO,Boulder,40.094826,–105.398382
251,CO,Broomfield,39.953383,–105.052125
252,CO,Chaffee,38.738246,–106.316972
253,CO,Cheyenne,38.835387,–102.604585
254,CO,Clear Creek,39.689403,–105.670791
255,CO,Conejos,37.213407,–106.176447
256,CO,Costilla,37.277547,–105.428940
257,CO,Crowley,38.321956,–103.787562
258,CO,Custer,38.101994,–105.373515
259,CO,Delta,38.861756,–107.864757
260,CO,Denver,39.761849,–104.880625
261,CO,Dolores,37.747602,–108.530383
262,CO,Douglas,39.326435,–104.926199
263,CO,Eagle,39.630638,–106.692944
264,CO,Elbert,39.310817,–104.117928
265,CO,El Paso,38.827383,–104.527472
266,CO,Fremont,38.455658,–105.421438
267,CO,Garfield,39.599352,–107.909780
268,CO,Gilpin,39.861082,–105.528947
269,CO,Grand,40.123289,–106.095876
270,CO,Gunnison,38.669679,–107.078108
271,CO,Hinsdale,37.811625,–107.383405
272,CO,Huerfano,37.687815,–104.959928
273,CO,Jackson,40.663432,–106.329248
274,CO,Jefferson,39.58646,–105.245601
275,CO,Kiowa,38.388466,–102.756210
276,CO,Kit Carson,39.30534,–102.603023
277,CO,Lake,39.204316,–106.349696
278,CO,La Plata,37.287367,–107.839718
279,CO,Larimer,40.663091,–105.482131
280,CO,Las Animas,37.318831,–104.044110
281,CO,Lincoln,38.99374,–103.507555
282,CO,Logan,40.728091,–103.090464
283,CO,Mesa,39.019492,–108.461837
284,CO,Mineral,37.651478,–106.932300
285,CO,Moffat,40.573984,–108.204521
286,CO,Montezuma,37.338025,–108.595786
287,CO,Montrose,38.413427,–108.263042
288,CO,Morgan,40.262354,–103.807092
289,CO,Otero,37.88417,–103.721260
290,CO,Ouray,38.1506,–107.767133
291,CO,Park,39.118914,–105.717648
292,CO,Phillips,40.594712,–102.345105
293,CO,Pitkin,39.217533,–106.915943
294,CO,Prowers,37.958181,–102.392161
295,CO,Pueblo,38.170658,–104.489893
296,CO,Rio Blanco,39.972606,–108.200685
297,CO,Rio Grande,37.485763,–106.453214
298,CO,Routt,40.48316,–106.985289
299,CO,Saguache,38.033952,–106.246675
300,CO,San Juan,37.781075,–107.670257
301,CO,San Miguel,38.009374,–108.427326
302,CO,Sedgwick,40.871568,–102.355358
303,CO,Summit,39.621023,–106.137555
304,CO,Teller,38.871994,–105.182552
305,CO,Washington,39.965413,–103.209605
306,CO,Weld,40.555794,–104.383649
307,CO,Yuma,40.000631,–102.422649
308,CT,Fairfield,41.228103,–73.366757
309,CT,Hartford,41.806053,–72.732916
310,CT,Litchfield,41.791897,–73.235428
311,CT,Middlesex,41.434525,–72.524227
312,CT,New Haven,41.349717,–72.900204
313,CT,New London,41.47863,–72.103452
314,CT,Tolland,41.858076,–72.340977
315,CT,Windham,41.824999,–71.990702
316,DE,Kent,39.097088,–75.502982
317,DE,New Castle,39.575915,–75.644132
318,DE,Sussex,38.677511,–75.335495
319,DC,District of Columbia,38.904149,–77.017094
320,FL,Alachua,29.67574,–82.357221
321,FL,Baker,30.324442,–82.302284
322,FL,Bay,30.237563,–85.631348
323,FL,Bradford,29.946934,–82.166796
324,FL,Brevard,28.298276,–80.700384
325,FL,Broward,26.19352,–80.476658
326,FL,Calhoun,30.388801,–85.197916
327,FL,Charlotte,26.868826,–81.940858
328,FL,Citrus,28.843628,–82.524796
329,FL,Clay,29.987116,–81.858147
330,FL,Collier,26.118713,–81.400884
331,FL,Columbia,30.221305,–82.623127
332,FL,DeSoto,27.190581,–81.806253
333,FL,Dixie,29.580899,–83.195666
334,FL,Duval,30.335245,–81.648113
335,FL,Escambia,30.611664,–87.339040
336,FL,Flagler,29.474894,–81.286362
337,FL,Franklin,29.810176,–84.799174
338,FL,Gadsden,30.57917,–84.612783
339,FL,Gilchrist,29.723456,–82.795801
340,FL,Glades,26.95481,–81.190820
341,FL,Gulf,29.907257,–85.256537
342,FL,Hamilton,30.491102,–82.951049
343,FL,Hardee,27.492846,–81.821580
344,FL,Hendry,26.53934,–81.151584
345,FL,Hernando,28.567911,–82.464835
346,FL,Highlands,27.342627,–81.340921
347,FL,Hillsborough,27.90659,–82.349568
348,FL,Holmes,30.866222,–85.812959
349,FL,Indian River,27.700638,–80.574803
350,FL,Jackson,30.787812,–85.210374
351,FL,Jefferson,30.424558,–83.890859
352,FL,Lafayette,29.990066,–83.178510
353,FL,Lake,28.764113,–81.712282
354,FL,Lee,26.552134,–81.892250
355,FL,Leon,30.45931,–84.277800
356,FL,Levy,29.284409,–82.783483
357,FL,Liberty,30.259849,–84.868581
358,FL,Madison,30.447228,–83.470437
359,FL,Manatee,27.481386,–82.365784
360,FL,Marion,29.202805,–82.043100
361,FL,Martin,27.079954,–80.398211
362,FL,Miami-Dade,25.610494,–80.499045
363,FL,Monroe,25.601043,–81.206777
364,FL,Nassau,30.605926,–81.764929
365,FL,Okaloosa,30.665858,–86.594194
366,FL,Okeechobee,27.385592,–80.887388
367,FL,Orange,28.514435,–81.323295
368,FL,Osceola,28.059027,–81.139312
369,FL,Palm Beach,26.645763,–80.448673
370,FL,Pasco,28.302024,–82.455707
371,FL,Pinellas,27.903122,–82.739518
372,FL,Polk,27.953115,–81.692783
373,FL,Putnam,29.606006,–81.740894
374,FL,St Johns,29.890593,–81.383914
375,FL,St Lucie,27.380775,–80.443364
376,FL,Santa Rosa,30.703633,–87.014255
377,FL,Sarasota,27.184386,–82.365835
378,FL,Seminole,28.690079,–81.131980
379,FL,Sumter,28.714294,–82.074715
380,FL,Suwannee,30.189244,–82.992754
381,FL,Taylor,30.016943,–83.616417
382,FL,Union,30.05428,–82.366918
383,FL,Volusia,29.057617,–81.161813
384,FL,Wakulla,30.140378,–84.375136
385,FL,Walton,30.631211,–86.176614
386,FL,Washington,30.602217,–85.662797
387,GA,Appling,31.739712,–82.290103
388,GA,Atkinson,31.300562,–82.883614
389,GA,Bacon,31.563327,–82.387859
390,GA,Baker,31.319622,–84.454857
391,GA,Baldwin,33.059532,–83.255362
392,GA,Banks,34.351922,–83.498441
393,GA,Barrow,33.992009,–83.712303
394,GA,Bartow,34.240918,–84.838188
395,GA,Ben Hill,31.740776,–83.147190
396,GA,Berrien,31.274308,–83.231906
397,GA,Bibb,32.808844,–83.694193
398,GA,Bleckley,32.435403,–83.331717
399,GA,Brantley,31.197334,–81.982978
400,GA,Brooks,30.833696,–83.588971
401,GA,Bryan,32.017969,–81.438543
402,GA,Bulloch,32.393408,–81.743810
403,GA,Burke,33.063737,–82.003890
404,GA,Butts,33.290355,–83.958221
405,GA,Calhoun,31.521279,–84.626290
406,GA,Camden,30.916358,–81.636516
407,GA,Candler,32.403986,–82.071446
408,GA,Carroll,33.582237,–85.080527
409,GA,Catoosa,34.899393,–85.137353
410,GA,Charlton,30.779904,–82.139644
411,GA,Chatham,31.974756,–81.091768
412,GA,Chattahoochee,32.347445,–84.788021
413,GA,Chattooga,34.474179,–85.345289
414,GA,Cherokee,34.244317,–84.475057
415,GA,Clarke,33.952234,–83.367130
416,GA,Clay,31.619831,–84.992583
417,GA,Clayton,33.552242,–84.412977
418,GA,Clinch,30.917653,–82.702614
419,GA,Cobb,33.93994,–84.574166
420,GA,Coffee,31.549245,–82.844938
421,GA,Colquitt,31.189758,–83.769741
422,GA,Columbia,33.550556,–82.251342
423,GA,Cook,31.152935,–83.429552
424,GA,Coweta,33.352897,–84.762138
425,GA,Crawford,32.709446,–83.979182
426,GA,Crisp,31.914753,–83.753338
427,GA,Dade,34.852424,–85.506201
428,GA,Dawson,34.442842,–84.173284
429,GA,Decatur,30.877961,–84.577744
430,GA,DeKalb,33.770661,–84.226343
431,GA,Dodge,32.160656,–83.156818
432,GA,Dooly,32.151995,–83.807167
433,GA,Dougherty,31.535068,–84.214444
434,GA,Douglas,33.699317,–84.765944
435,GA,Early,31.324191,–84.906723
436,GA,Echols,30.7085,–82.836132
437,GA,Effingham,32.361711,–81.343337
438,GA,Elbert,34.115017,–82.842057
439,GA,Emanuel,32.5911,–82.299763
440,GA,Evans,32.151902,–81.887618
441,GA,Fannin,34.863837,–84.319287
442,GA,Fayette,33.412717,–84.493941
443,GA,Floyd,34.263677,–85.213730
444,GA,Forsyth,34.225143,–84.127336
445,GA,Franklin,34.375155,–83.227291
446,GA,Fulton,33.790034,–84.468182
447,GA,Gilmer,34.690541,–84.453984
448,GA,Glascock,33.227491,–82.606913
449,GA,Glynn,31.212747,–81.496517
450,GA,Gordon,34.509667,–84.873862
451,GA,Grady,30.875863,–84.244772
452,GA,Greene,33.576836,–83.167103
453,GA,Gwinnett,33.959101,–84.022938
454,GA,Habersham,34.635108,–83.526406
455,GA,Hall,34.317588,–83.818497
456,GA,Hancock,33.26922,–83.000465
457,GA,Haralson,33.795165,–85.220062
458,GA,Harris,32.731549,–84.912432
459,GA,Hart,34.348733,–82.963290
460,GA,Heard,33.290968,–85.139594
461,GA,Henry,33.452881,–84.154440
462,GA,Houston,32.458381,–83.662856
463,GA,Irwin,31.604306,–83.277037
464,GA,Jackson,34.134157,–83.565133
465,GA,Jasper,33.314905,–83.687892
466,GA,Jeff Davis,31.811615,–82.636825
467,GA,Jefferson,33.051874,–82.419050
468,GA,Jenkins,32.794563,–81.971524
469,GA,Johnson,32.689831,–82.661354
470,GA,Jones,33.020226,–83.562339
471,GA,Lamar,33.07446,–84.146721
472,GA,Lanier,31.038197,–83.063164
473,GA,Laurens,32.39322,–82.926317
474,GA,Lee,31.818419,–84.146681
475,GA,Liberty,31.807245,–81.457969
476,GA,Lincoln,33.792151,–82.448299
477,GA,Long,31.749563,–81.742870
478,GA,Lowndes,30.83368,–83.268967
479,GA,Lumpkin,34.568149,–83.998828
480,GA,McDuffie,33.482464,–82.473188
481,GA,McIntosh,31.482978,–81.370199
482,GA,Macon,32.366216,–84.052162
483,GA,Madison,34.128486,–83.203637
484,GA,Marion,32.359538,–84.529561
485,GA,Meriwether,33.03022,–84.663279
486,GA,Miller,31.162908,–84.730386
487,GA,Mitchell,31.22894,–84.192407
488,GA,Monroe,33.017435,–83.922938
489,GA,Montgomery,32.172108,–82.533349
490,GA,Morgan,33.593732,–83.492324
491,GA,Murray,34.797097,–84.737990
492,GA,Muscogee,32.510197,–84.874946
493,GA,Newton,33.544046,–83.855189
494,GA,Oconee,33.834125,–83.437728
495,GA,Oglethorpe,33.866806,–83.074081
496,GA,Paulding,33.920903,–84.866979
497,GA,Peach,32.571324,–83.831978
498,GA,Pickens,34.456621,–84.490256
499,GA,Pierce,31.353988,–82.210427
500,GA,Pike,33.090769,–84.386627
501,GA,Polk,33.995961,–85.186826
502,GA,Pulaski,32.238794,–83.481855
503,GA,Putnam,33.321061,–83.371790
504,GA,Quitman,31.861487,–85.009317
505,GA,Rabun,34.883026,–83.404735
506,GA,Randolph,31.762651,–84.752311
507,GA,Richmond,33.361487,–82.074998
508,GA,Rockdale,33.652081,–84.026370
509,GA,Schley,32.263441,–84.322724
510,GA,Screven,32.744751,–81.617585
511,GA,Seminole,30.933894,–84.867592
512,GA,Spalding,33.262389,–84.286067
513,GA,Stephens,34.552914,–83.290216
514,GA,Stewart,32.073225,–84.834912
515,GA,Sumter,32.042203,–84.204283
516,GA,Talbot,32.704603,–84.530029
517,GA,Taliaferro,33.559314,–82.875208
518,GA,Tattnall,32.043768,–82.059208
519,GA,Taylor,32.554667,–84.251426
520,GA,Telfair,31.913639,–82.931062
521,GA,Terrell,31.777191,–84.439446
522,GA,Thomas,30.864616,–83.919783
523,GA,Tift,31.457003,–83.525931
524,GA,Toombs,32.126698,–82.332071
525,GA,Towns,34.90265,–83.732158
526,GA,Treutlen,32.409586,–82.570882
527,GA,Troup,33.034482,–85.028360
528,GA,Turner,31.718232,–83.628567
529,GA,Twiggs,32.665847,–83.425879
530,GA,Union,34.83377,–83.989573
531,GA,Upson,32.881837,–84.292281
532,GA,Walker,34.735827,–85.305385
533,GA,Walton,33.782649,–83.734215
534,GA,Ware,31.050881,–82.421507
535,GA,Warren,33.419169,–82.688012
536,GA,Washington,32.971848,–82.798112
537,GA,Wayne,31.547845,–81.912376
538,GA,Webster,32.046554,–84.553218
539,GA,Wheeler,32.109276,–82.738701
540,GA,White,34.643677,–83.743713
541,GA,Whitfield,34.801726,–84.968541
542,GA,Wilcox,31.962717,–83.438262
543,GA,Wilkes,33.77904,–82.747922
544,GA,Wilkinson,32.804321,–83.175587
545,GA,Worth,31.551773,–83.849960
546,HI,Hawaii,19.597764,–155.502443
547,HI,Honolulu,21.461364,–158.201976
548,HI,Kalawao,21.218764,–156.974010
549,HI,"Kauai	",22.012038,–159.705965
550,HI,Maui,20.855931,–156.601550
551,ID,Ada,43.447861,–116.244456
552,ID,Adams,44.884583,–116.431873
553,ID,Bannock,42.692939,–112.228986
554,ID,Bear Lake,42.285833,–111.327445
555,ID,Benewah,47.218451,–116.633541
556,ID,Bingham,43.216357,–112.399206
557,ID,Blaine,43.394482,–113.955290
558,ID,Boise,43.987275,–115.715111
559,ID,Bonner,48.312512,–116.596940
560,ID,Bonneville,43.395171,–111.621878
561,ID,Boundary,48.773065,–116.524619
562,ID,Butte,43.6851,–113.177627
563,ID,Camas,43.463396,–114.804427
564,ID,Canyon,43.623051,–116.708527
565,ID,Caribou,42.786273,–111.544172
566,ID,Cassia,42.288635,–113.605498
567,ID,Clark,44.286251,–112.361120
568,ID,Clearwater,46.67257,–115.653500
569,ID,Custer,44.273341,–114.252251
570,ID,Elmore,43.394826,–115.470751
571,ID,Franklin,42.173589,–111.822955
572,ID,Fremont,44.218091,–111.484429
573,ID,Gem,44.061473,–116.398784
574,ID,Gooding,42.973185,–114.821420
575,ID,Idaho,45.849237,–115.467376
576,ID,Jefferson,43.796965,–112.318588
577,ID,Jerome,42.691172,–114.263009
578,ID,Kootenai,47.677113,–116.694918
579,ID,Latah,46.81892,–116.730974
580,ID,Lemhi,44.928789,–113.887841
581,ID,Lewis,46.236328,–116.423760
582,ID,Lincoln,42.986181,–114.153899
583,ID,Madison,43.789709,–111.656550
584,ID,Minidoka,42.856937,–113.640010
585,ID,Nez Perce,46.333766,–116.760903
586,ID,Oneida,42.18389,–112.520465
587,ID,Owyhee,42.593063,–116.142655
588,ID,Payette,44.00274,–116.748655
589,ID,Power,42.694126,–112.844407
590,ID,Shoshone,47.347694,–115.885092
591,ID,Teton,43.760994,–111.211765
592,ID,Twin Falls,42.352309,–114.665639
593,ID,Valley,44.771532,–115.637875
594,ID,Washington,44.448213,–116.797830
595,IL,Adams,39.986053,–91.194961
596,IL,Alexander,37.183683,–89.349506
597,IL,Bond,38.885924,–89.436592
598,IL,Boone,42.318983,–88.824295
599,IL,Brown,39.962069,–90.750310
600,IL,Bureau,41.401304,–89.528377
601,IL,Calhoun,39.164262,–90.666295
602,IL,Carroll,42.059084,–89.926485
603,IL,Cass,39.969202,–90.245705
604,IL,Champaign,40.13915,–88.197201
605,IL,Christian,39.545524,–89.279593
606,IL,Clark,39.332364,–87.791687
607,IL,Clay,38.747312,–88.483789
608,IL,Clinton,38.606423,–89.423136
609,IL,Coles,39.51368,–88.220782
610,IL,Cook,41.894294,–87.645455
611,IL,Crawford,39.00373,–87.757172
612,IL,Cumberland,39.273121,–88.240619
613,IL,DeKalb,41.894613,–88.768991
614,IL,De Witt,40.181499,–88.901853
615,IL,Douglas,39.766078,–88.222866
616,IL,DuPage,41.852058,–88.086038
617,IL,Edgar,39.679037,–87.747110
618,IL,Edwards,38.417095,–88.047941
619,IL,Effingham,39.047694,–88.592786
620,IL,Fayette,39.001125,–89.017923
621,IL,Ford,40.594423,–88.224746
622,IL,Franklin,37.991848,–88.926246
623,IL,Fulton,40.465688,–90.206793
624,IL,Gallatin,37.768677,–88.227964
625,IL,Greene,39.355444,–90.387757
626,IL,Grundy,41.29241,–88.401055
627,IL,Hamilton,38.085226,–88.539005
628,IL,Hancock,40.405792,–91.167988
629,IL,Hardin,37.517852,–88.266148
630,IL,Henderson,40.815141,–90.938480
631,IL,Henry,41.350021,–90.130838
632,IL,Iroquois,40.748867,–87.833601
633,IL,Jackson,37.786096,–89.381212
634,IL,Jasper,39.004874,–88.150763
635,IL,Jefferson,38.30078,–88.924210
636,IL,Jersey,39.080192,–90.361365
637,IL,Jo Daviess,42.362391,–90.211471
638,IL,Johnson,37.460815,–88.882962
639,IL,Kane,41.939594,–88.428040
640,IL,Kankakee,41.139494,–87.861125
641,IL,Kendall,41.58814,–88.430626
642,IL,Knox,40.930941,–90.213761
643,IL,Lake,42.326444,–87.436118
644,IL,LaSalle,41.343341,–88.885931
645,IL,Lawrence,38.718954,–87.730221
646,IL,Lee,41.747442,–89.299351
647,IL,Livingston,40.894376,–88.552852
648,IL,Logan,40.12907,–89.365308
649,IL,McDonough,40.455789,–90.677579
650,IL,McHenry,42.324298,–88.452245
651,IL,McLean,40.494559,–88.844539
652,IL,Macon,39.860237,–88.961529
653,IL,Macoupin,39.2659,–89.926344
654,IL,Madison,38.827082,–89.900195
655,IL,Marion,38.648396,–88.920221
656,IL,Marshall,41.031119,–89.342371
657,IL,Mason,40.236993,–89.913575
