state_name,county,Sum of LA1and10,Count of CensusTract,LA County Rate,low_access_flag
Colorado,Arapahoe,37,147,0.25170068,NO
Missouri,Mercer,2,2,1,YES
Missouri,Nodaway,5,5,1,YES
Missouri,Oregon,3,3,1,YES
Colorado,Boulder,21,68,0.308823529,NO
Missouri,Ozark,2,2,1,YES
Colorado,Chaffee,1,5,0.2,NO
Missouri,Schuyler,2,2,1,YES
Colorado,Clear Creek,1,3,0.333333333,NO
Colorado,Conejos,0,2,0,NO
Montana,Carter,1,1,1,YES
Colorado,Crowley,0,1,0,NO
Montana,Chouteau,2,2,1,YES
Colorado,Delta,1,7,0.142857143,NO
Colorado,Denver,22,144,0.152777778,NO
Montana,Dawson,3,3,1,YES
Colorado,Douglas,28,61,0.459016393,NO
Colorado,Eagle,4,14,0.285714286,NO
Montana,Fallon,1,1,1,YES
Montana,Fergus,2,2,1,YES
Montana,Garfield,1,1,1,YES
Colorado,Garfield,4,11,0.363636364,NO
Colorado,Gilpin,0,1,0,NO
Colorado,Grand,0,3,0,NO
Colorado,Gunnison,1,4,0.25,NO
Colorado,Hinsdale,0,1,0,NO
Montana,Golden Valley,1,1,1,YES
Colorado,Jackson,0,1,0,NO
Colorado,Jefferson,50,138,0.362318841,NO
Montana,Granite,1,1,1,YES
Colorado,Kit Carson,1,3,0.333333333,NO
Montana,Judith Basin,1,1,1,YES
Montana,Liberty,1,1,1,YES
Colorado,Larimer,31,73,0.424657534,NO
Montana,McCone,1,1,1,YES
Montana,Meagher,1,1,1,YES
Montana,Mineral,2,2,1,YES
Montana,Petroleum,1,1,1,YES
Colorado,Mineral,0,1,0,NO
Montana,Phillips,1,1,1,YES
Colorado,Montezuma,3,7,0.428571429,NO
Montana,Powder River,1,1,1,YES
Colorado,Morgan,2,8,0.25,NO
Colorado,Otero,3,7,0.428571429,NO
Colorado,Ouray,0,1,0,NO
Montana,Prairie,1,1,1,YES
Colorado,Phillips,0,2,0,NO
Colorado,Pitkin,1,4,0.25,NO
Montana,Sweet Grass,1,1,1,YES
Montana,Treasure,1,1,1,YES
Colorado,Rio Blanco,0,2,0,NO
Montana,Wheatland,1,1,1,YES
Colorado,Routt,3,8,0.375,NO
Montana,Wibaux,1,1,1,YES
Nebraska,Arthur,1,1,1,YES
Colorado,San Miguel,1,4,0.25,NO
Colorado,Sedgwick,0,1,0,NO
Colorado,Summit,1,5,0.2,NO
Colorado,Teller,1,6,0.166666667,NO
Nebraska,Banner,1,1,1,YES
Colorado,Weld,28,77,0.363636364,NO
Nebraska,Blaine,1,1,1,YES
Connecticut,Fairfield,102,211,0.483412322,NO
Connecticut,Hartford,97,224,0.433035714,NO
Connecticut,Litchfield,16,51,0.31372549,NO
Nebraska,Box Butte,3,3,1,YES
Nebraska,Boyd,1,1,1,YES
Nebraska,Chase,1,1,1,YES
Nebraska,Cherry,2,2,1,YES
Connecticut,Windham,5,25,0.2,NO
Delaware,Kent,13,33,0.393939394,NO
Delaware,New Castle,56,131,0.427480916,NO
Delaware,Sussex,25,54,0.462962963,NO
District of Columbia,District of Columbia,9,179,0.05027933,NO
Florida,Alachua,19,56,0.339285714,NO
Nebraska,Clay,2,2,1,YES
Nebraska,Dawes,2,2,1,YES
Florida,Bradford,0,4,0,NO
Nebraska,Deuel,1,1,1,YES
Florida,Broward,76,361,0.210526316,NO
Nebraska,Dixon,2,2,1,YES
Nebraska,Dundy,1,1,1,YES
Nebraska,Frontier,1,1,1,YES
Nebraska,Furnas,1,1,1,YES
Nebraska,Garden,1,1,1,YES
Nebraska,Gosper,1,1,1,YES
Florida,DeSoto,2,9,0.222222222,NO
Florida,Dixie,1,3,0.333333333,NO
Nebraska,Grant,1,1,1,YES
Nebraska,Greeley,1,1,1,YES
Nebraska,Hayes,1,1,1,YES
Florida,Franklin,0,4,0,NO
Florida,Gadsden,2,9,0.222222222,NO
Florida,Gilchrist,0,5,0,NO
Nebraska,Hitchcock,1,1,1,YES
Florida,Gulf,1,3,0.333333333,NO
Nebraska,Keya Paha,1,1,1,YES
Nebraska,Loup,1,1,1,YES
Florida,Hendry,2,7,0.285714286,NO
Nebraska,McPherson,1,1,1,YES
Florida,Highlands,12,27,0.444444444,NO
Florida,Hillsborough,151,321,0.470404984,NO
Nebraska,Merrick,3,3,1,YES
Nebraska,Morrill,1,1,1,YES
Florida,Jackson,3,11,0.272727273,NO
Florida,Jefferson,1,3,0.333333333,NO
Nebraska,Nance,1,1,1,YES
Nebraska,Pawnee,1,1,1,YES
Nebraska,Perkins,1,1,1,YES
Florida,Leon,32,68,0.470588235,NO
Florida,Levy,3,9,0.333333333,NO
Nebraska,Pierce,2,2,1,YES
Florida,Madison,2,5,0.4,NO
Nebraska,Red Willow,3,3,1,YES
Florida,Marion,28,63,0.444444444,NO
Nebraska,Sherman,1,1,1,YES
Florida,Miami-Dade,76,519,0.146435453,NO
Florida,Monroe,14,30,0.466666667,NO
Nebraska,Sioux,1,1,1,YES
Nebraska,Stanton,2,2,1,YES
Nebraska,Thomas,1,1,1,YES
Florida,Orange,89,207,0.429951691,NO
Nebraska,Thurston,2,2,1,YES
Florida,Palm Beach,118,337,0.350148368,NO
Nebraska,Wheeler,1,1,1,YES
Florida,Pinellas,80,245,0.326530612,NO
Nevada,Esmeralda,1,1,1,YES
Florida,Putnam,5,17,0.294117647,NO
Nevada,Eureka,1,1,1,YES
Nevada,Lander,1,1,1,YES
Nevada,Lincoln,2,2,1,YES
Nevada,Mineral,2,2,1,YES
Nevada,Pershing,1,1,1,YES
Florida,Sumter,6,19,0.315789474,NO
Florida,Suwannee,3,7,0.428571429,NO
New Mexico,Catron,1,1,1,YES
New Mexico,Guadalupe,1,1,1,YES
New Mexico,Harding,1,1,1,YES
Florida,Wakulla,0,4,0,NO
Florida,Walton,5,11,0.454545455,NO
New Mexico,Los Alamos,4,4,1,YES
New Mexico,Mora,1,1,1,YES
Georgia,Atkinson,1,3,0.333333333,NO
Georgia,Bacon,0,3,0,NO
New Mexico,Quay,3,3,1,YES
Georgia,Baldwin,4,9,0.444444444,NO
Georgia,Banks,0,4,0,NO
New Mexico,Roosevelt,5,5,1,YES
Georgia,Bartow,6,15,0.4,NO
Georgia,Ben Hill,2,5,0.4,NO
Georgia,Berrien,2,6,0.333333333,NO
New Mexico,Socorro,6,6,1,YES
Georgia,Bleckley,1,3,0.333333333,NO
Georgia,Brantley,1,3,0.333333333,NO
Georgia,Brooks,2,5,0.4,NO
Georgia,Bryan,2,7,0.285714286,NO
Georgia,Bulloch,3,12,0.25,NO
New Mexico,Union,1,1,1,YES
Georgia,Butts,1,3,0.333333333,NO
North Dakota,Adams,1,1,1,YES
North Dakota,Billings,1,1,1,YES
Georgia,Candler,0,3,0,NO
North Dakota,Burke,1,1,1,YES
North Dakota,Divide,1,1,1,YES
Georgia,Charlton,0,2,0,NO
Georgia,Chatham,32,72,0.444444444,NO
North Dakota,Dunn,1,1,1,YES
North Dakota,Eddy,1,1,1,YES
North Dakota,Emmons,1,1,1,YES
North Dakota,Foster,1,1,1,YES
North Dakota,Golden Valley,1,1,1,YES
North Dakota,Grant,1,1,1,YES
Georgia,Clinch,0,2,0,NO
North Dakota,Griggs,1,1,1,YES
Georgia,Coffee,2,9,0.222222222,NO
North Dakota,Hettinger,2,2,1,YES
North Dakota,Kidder,1,1,1,YES
Georgia,Cook,0,4,0,NO
North Dakota,Logan,1,1,1,YES
Georgia,Crawford,0,3,0,NO
Georgia,Crisp,1,6,0.166666667,NO
Georgia,Dade,0,4,0,NO
Georgia,Dawson,0,3,0,NO
Georgia,Decatur,3,7,0.428571429,NO
North Dakota,McHenry,2,2,1,YES
Georgia,Dodge,0,6,0,NO
North Dakota,McIntosh,1,1,1,YES
North Dakota,McLean,2,2,1,YES
North Dakota,Nelson,1,1,1,YES
Georgia,Early,0,5,0,NO
Georgia,Echols,0,2,0,NO
Georgia,Effingham,3,10,0.3,NO
Georgia,Elbert,1,5,0.2,NO
North Dakota,Oliver,1,1,1,YES
Georgia,Evans,0,3,0,NO
Georgia,Fannin,0,5,0,NO
North Dakota,Renville,1,1,1,YES
North Dakota,Sheridan,1,1,1,YES
North Dakota,Slope,1,1,1,YES
Georgia,Franklin,0,5,0,NO
Georgia,Fulton,100,204,0.490196078,NO
Georgia,Gilmer,2,5,0.4,NO
North Dakota,Steele,1,1,1,YES
North Dakota,Towner,1,1,1,YES
Georgia,Gordon,4,9,0.444444444,NO
Georgia,Grady,1,6,0.166666667,NO
Georgia,Greene,1,7,0.142857143,NO
Ohio,Vinton,3,3,1,YES
Georgia,Habersham,2,8,0.25,NO
Oklahoma,Cotton,2,2,1,YES
Oklahoma,Custer,5,5,1,YES
Georgia,Haralson,1,5,0.2,NO
Georgia,Harris,0,5,0,NO
Georgia,Hart,0,5,0,NO
Georgia,Heard,1,3,0.333333333,NO
Oklahoma,Dewey,3,3,1,YES
Oklahoma,Ellis,2,2,1,YES
Georgia,Irwin,0,2,0,NO
Georgia,Jackson,5,11,0.454545455,NO
Oklahoma,Grant,2,2,1,YES
Oklahoma,Roger Mills,1,1,1,YES
Georgia,Jefferson,0,4,0,NO
Georgia,Jenkins,0,2,0,NO
Georgia,Johnson,1,3,0.333333333,NO
Georgia,Jones,2,6,0.333333333,NO
Georgia,Lamar,1,3,0.333333333,NO
Georgia,Lanier,0,2,0,NO
Georgia,Laurens,5,13,0.384615385,NO
Georgia,Lee,2,5,0.4,NO
Oklahoma,Washita,4,4,1,YES
Georgia,Lincoln,0,2,0,NO
Georgia,Long,0,3,0,NO
Georgia,Lowndes,10,25,0.4,NO
Georgia,Lumpkin,0,4,0,NO
Georgia,Macon,0,4,0,NO
Georgia,Madison,1,6,0.166666667,NO
Georgia,Marion,0,2,0,NO
Georgia,McDuffie,0,5,0,NO
Georgia,McIntosh,1,4,0.25,NO
Georgia,Meriwether,1,4,0.25,NO
Georgia,Miller,0,3,0,NO
Georgia,Mitchell,2,5,0.4,NO
Georgia,Monroe,1,5,0.2,NO
Georgia,Montgomery,1,3,0.333333333,NO
Georgia,Morgan,2,5,0.4,NO
Georgia,Murray,2,8,0.25,NO
Georgia,Muscogee,24,53,0.452830189,NO
Oregon,Gilliam,1,1,1,YES
Georgia,Oconee,1,6,0.166666667,NO
Georgia,Oglethorpe,0,4,0,NO
Oregon,Grant,2,2,1,YES
Georgia,Peach,1,6,0.166666667,NO
Georgia,Pickens,1,6,0.166666667,NO
Georgia,Pierce,1,4,0.25,NO
Georgia,Pike,0,4,0,NO
Georgia,Polk,2,7,0.285714286,NO
Georgia,Pulaski,0,3,0,NO
Georgia,Putnam,1,5,0.2,NO
Georgia,Quitman,0,1,0,NO
Georgia,Rabun,0,5,0,NO
Oregon,Harney,2,2,1,YES
Oregon,Sherman,1,1,1,YES
Oregon,Wheeler,1,1,1,YES
Georgia,Schley,0,2,0,NO
Georgia,Screven,1,5,0.2,NO
Georgia,Seminole,1,3,0.333333333,NO
South Dakota,Aurora,1,1,1,YES
Georgia,Stephens,2,5,0.4,NO
South Dakota,Bennett,2,2,1,YES
Georgia,Sumter,2,8,0.25,NO
Georgia,Talbot,1,3,0.333333333,NO
South Dakota,Brookings,6,6,1,YES
Georgia,Tattnall,1,5,0.2,NO
Georgia,Taylor,0,3,0,NO
Georgia,Telfair,1,3,0.333333333,NO
Georgia,Terrell,1,4,0.25,NO
South Dakota,Buffalo,1,1,1,YES
Georgia,Tift,3,9,0.333333333,NO
Georgia,Toombs,2,6,0.333333333,NO
Georgia,Towns,0,3,0,NO
South Dakota,Butte,2,2,1,YES
Georgia,Troup,3,14,0.214285714,NO
South Dakota,Campbell,1,1,1,YES
Georgia,Twiggs,0,2,0,NO
Georgia,Union,0,6,0,NO
Georgia,Upson,2,7,0.285714286,NO
Georgia,Walker,6,13,0.461538462,NO
Georgia,Walton,7,15,0.466666667,NO
South Dakota,Clark,1,1,1,YES
Georgia,Warren,0,2,0,NO
South Dakota,Corson,2,2,1,YES
South Dakota,Deuel,2,2,1,YES
Georgia,Webster,0,2,0,NO
Georgia,Wheeler,0,2,0,NO
Georgia,White,0,5,0,NO
Georgia,Whitfield,6,18,0.333333333,NO
Georgia,Wilcox,0,4,0,NO
South Dakota,Dewey,2,2,1,YES
South Dakota,Douglas,1,1,1,YES
Georgia,Worth,0,5,0,NO
Hawaii,Hawaii,16,34,0.470588235,NO
Hawaii,Honolulu,84,244,0.344262295,NO
Hawaii,Kalawao,0,1,0,NO
Hawaii,Kauai,7,16,0.4375,NO
Hawaii,Maui,17,37,0.459459459,NO
South Dakota,Edmunds,2,2,1,YES
Idaho,Adams,0,2,0,NO
South Dakota,Fall River,2,2,1,YES
South Dakota,Faulk,1,1,1,YES
South Dakota,Haakon,1,1,1,YES
South Dakota,Hamlin,2,2,1,YES
Idaho,Blaine,1,4,0.25,NO
South Dakota,Hanson,1,1,1,YES
Idaho,Bonner,4,9,0.444444444,NO
South Dakota,Harding,1,1,1,YES
South Dakota,Hughes,4,4,1,YES
South Dakota,Hyde,1,1,1,YES
South Dakota,Jerauld,1,1,1,YES
Idaho,Canyon,13,29,0.448275862,NO
South Dakota,Jones,1,1,1,YES
Idaho,Cassia,2,6,0.333333333,NO
South Dakota,Kingsbury,2,2,1,YES
South Dakota,Lyman,2,2,1,YES
South Dakota,Marshall,1,1,1,YES
Idaho,Elmore,2,5,0.4,NO
South Dakota,McCook,2,2,1,YES
South Dakota,McPherson,1,1,1,YES
South Dakota,Meade,5,5,1,YES
Idaho,Gooding,0,2,0,NO
South Dakota,Mellette,1,1,1,YES
South Dakota,Miner,1,1,1,YES
Idaho,Jerome,2,5,0.4,NO
South Dakota,Moody,2,2,1,YES
South Dakota,Perkins,1,1,1,YES
South Dakota,Potter,1,1,1,YES
South Dakota,Sanborn,1,1,1,YES
South Dakota,Shannon,3,3,1,YES
Idaho,Madison,2,6,0.333333333,NO
South Dakota,Sully,1,1,1,YES
Idaho,Nez Perce,4,10,0.4,NO
Idaho,Oneida,0,1,0,NO
Idaho,Owyhee,1,3,0.333333333,NO
South Dakota,Todd,2,2,1,YES
South Dakota,Ziebach,1,1,1,YES
Idaho,Shoshone,1,3,0.333333333,NO
Tennessee,Moore,2,2,1,YES
Idaho,Twin Falls,6,14,0.428571429,NO
Idaho,Valley,1,3,0.333333333,NO
Idaho,Washington,1,3,0.333333333,NO
Illinois,Adams,5,18,0.277777778,NO
Texas,Armstrong,1,1,1,YES
Illinois,Bond,1,4,0.25,NO
Texas,Borden,1,1,1,YES
Texas,Briscoe,1,1,1,YES
Texas,Clay,3,3,1,YES
Texas,Cochran,1,1,1,YES
Illinois,Carroll,2,6,0.333333333,NO
Illinois,Cass,1,5,0.2,NO
Illinois,Champaign,15,43,0.348837209,NO
Illinois,Christian,1,10,0.1,NO
Texas,Coke,2,2,1,YES
Illinois,Clay,1,4,0.25,NO
Illinois,Clinton,1,8,0.125,NO
Texas,Coleman,3,3,1,YES
Illinois,Cook,168,1318,0.127465857,NO
Illinois,Crawford,2,6,0.333333333,NO
Illinois,Cumberland,0,3,0,NO
Illinois,De Witt,0,5,0,NO
Texas,Concho,1,1,1,YES
Illinois,Douglas,2,5,0.4,NO
Illinois,DuPage,96,216,0.444444444,NO
Texas,Cottle,1,1,1,YES
Illinois,Edwards,1,3,0.333333333,NO
Texas,Crane,1,1,1,YES
Texas,Dallam,2,2,1,YES
Texas,Deaf Smith,4,4,1,YES
Illinois,Franklin,4,12,0.333333333,NO
Illinois,Fulton,3,12,0.25,NO
Texas,Dimmit,2,2,1,YES
Illinois,Greene,1,5,0.2,NO
Texas,Edwards,1,1,1,YES
Illinois,Hamilton,1,3,0.333333333,NO
Illinois,Hancock,3,7,0.428571429,NO
Illinois,Hardin,0,2,0,NO
Illinois,Henderson,0,3,0,NO
Texas,Foard,1,1,1,YES
Illinois,Iroquois,3,9,0.333333333,NO
Texas,Garza,1,1,1,YES
Illinois,Jasper,1,3,0.333333333,NO
Texas,Glasscock,1,1,1,YES
Illinois,Jersey,2,6,0.333333333,NO
Texas,Goliad,2,2,1,YES
Illinois,Johnson,1,4,0.25,NO
Illinois,Kane,38,82,0.463414634,NO
Illinois,Kankakee,9,29,0.310344828,NO
Texas,Hall,1,1,1,YES
Illinois,Knox,7,16,0.4375,NO
Illinois,La Salle,13,28,0.464285714,NO
Texas,Hardeman,1,1,1,YES
Illinois,Lawrence,1,5,0.2,NO
Illinois,Lee,2,9,0.222222222,NO
Illinois,Livingston,4,10,0.4,NO
Texas,Hartley,1,1,1,YES
Illinois,Macon,16,34,0.470588235,NO
Illinois,Macoupin,3,13,0.230769231,NO
Texas,Haskell,2,2,1,YES
Texas,Hudspeth,1,1,1,YES
Illinois,Marshall,0,5,0,NO
Texas,Irion,1,1,1,YES
Illinois,Massac,1,4,0.25,NO
Texas,Jack,3,3,1,YES
Texas,Jeff Davis,1,1,1,YES
Illinois,McLean,20,41,0.487804878,NO
Illinois,Menard,1,3,0.333333333,NO
Texas,Kenedy,1,1,1,YES
Texas,Kent,1,1,1,YES
Illinois,Montgomery,3,8,0.375,NO
Texas,King,1,1,1,YES
Illinois,Moultrie,0,4,0,NO
Illinois,Ogle,3,11,0.272727273,NO
Illinois,Peoria,17,48,0.354166667,NO
Illinois,Perry,2,6,0.333333333,NO
Illinois,Piatt,1,4,0.25,NO
Texas,Kinney,1,1,1,YES
Texas,La Salle,1,1,1,YES
Texas,Lipscomb,2,2,1,YES
Texas,Loving,1,1,1,YES
Illinois,Randolph,3,9,0.333333333,NO
Illinois,Richland,0,5,0,NO
Illinois,Rock Island,11,40,0.275,NO
Illinois,Saline,4,9,0.444444444,NO
Illinois,Sangamon,19,53,0.358490566,NO
