,county,state_name,month,days_of_rain,highCelsius,lowCelsius
69,Elmore,Alabama,February,7,15,2
70,Elmore,Alabama,March,8,20,6
71,Elmore,Alabama,April,6,24,9
76,Elmore,Alabama,septiembre,6,30,18
77,Elmore,Alabama,October,4,25,11
78,Elmore,Alabama,November,6,19,7
79,Elmore,Alabama,December,8,15,3
80,Etowah,Alabama,May,8,27,15
81,Etowah,Alabama,June,8,31,19
82,Etowah,Alabama,July,8,32,21
83,Etowah,Alabama,August,7,32,21
84,Etowah,Alabama,January,9,11,-1
85,Etowah,Alabama,February,8,14,1
86,Etowah,Alabama,March,9,19,5
87,Etowah,Alabama,April,8,24,10
92,Etowah,Alabama,septiembre,6,29,17
93,Etowah,Alabama,October,5,24,11
94,Etowah,Alabama,November,7,18,5
95,Etowah,Alabama,December,9,13,1
96,Houston,Alabama,May,5,30,18
97,Houston,Alabama,June,9,33,22
98,Houston,Alabama,July,10,33,23
99,Houston,Alabama,August,9,33,22
100,Houston,Alabama,January,6,16,5
101,Houston,Alabama,February,7,18,7
102,Houston,Alabama,March,6,22,10
103,Houston,Alabama,April,5,26,13
108,Houston,Alabama,septiembre,5,31,20
109,Houston,Alabama,October,3,27,14
110,Houston,Alabama,November,5,22,9
111,Houston,Alabama,December,8,18,6
112,Jefferson,Alabama,May,7,28,14
113,Jefferson,Alabama,June,8,32,18
114,Jefferson,Alabama,July,9,33,20
115,Jefferson,Alabama,August,7,33,20
116,Jefferson,Alabama,January,8,12,-1
117,Jefferson,Alabama,February,8,15,1
118,Jefferson,Alabama,March,9,20,5
119,Jefferson,Alabama,April,7,24,9
124,Jefferson,Alabama,septiembre,5,30,16
125,Jefferson,Alabama,October,5,24,10
126,Jefferson,Alabama,November,7,19,4
127,Jefferson,Alabama,December,8,14,1
128,Lauderdale,Alabama,May,8,27,14
129,Lauderdale,Alabama,June,7,31,19
130,Lauderdale,Alabama,July,8,32,20
131,Lauderdale,Alabama,August,7,32,20
132,Lauderdale,Alabama,January,7,10,-1
133,Lauderdale,Alabama,February,9,13,2
134,Lauderdale,Alabama,March,9,18,5
135,Lauderdale,Alabama,April,7,23,10
140,Lauderdale,Alabama,septiembre,5,29,17
141,Lauderdale,Alabama,October,6,24,10
142,Lauderdale,Alabama,November,6,17,4
143,Lauderdale,Alabama,December,9,12,2
144,Lee,Alabama,May,7,28,17
145,Lee,Alabama,June,9,31,20
146,Lee,Alabama,July,9,32,22
147,Lee,Alabama,August,8,31,22
148,Lee,Alabama,January,8,14,3
149,Lee,Alabama,February,7,16,5
150,Lee,Alabama,March,8,20,8
151,Lee,Alabama,April,6,24,12
156,Lee,Alabama,septiembre,6,29,19
157,Lee,Alabama,October,4,24,13
158,Lee,Alabama,November,6,19,8
159,Lee,Alabama,December,9,15,5
160,Limestone,Alabama,May,8,26,14
161,Limestone,Alabama,June,9,30,19
162,Limestone,Alabama,July,8,32,21
163,Limestone,Alabama,August,6,32,20
164,Limestone,Alabama,January,8,10,-1
165,Limestone,Alabama,February,9,13,1
166,Limestone,Alabama,March,8,17,5
167,Limestone,Alabama,April,8,23,10
172,Limestone,Alabama,septiembre,6,29,17
173,Limestone,Alabama,October,6,23,10
174,Limestone,Alabama,November,7,17,4
175,Limestone,Alabama,December,9,12,1
176,Madison,Alabama,May,9,26,13
177,Madison,Alabama,June,7,30,18
178,Madison,Alabama,July,8,31,19
179,Madison,Alabama,August,8,31,19
180,Madison,Alabama,January,8,9,-1
181,Madison,Alabama,February,8,12,1
182,Madison,Alabama,March,9,16,4
183,Madison,Alabama,April,8,22,9
188,Madison,Alabama,septiembre,5,28,15
189,Madison,Alabama,October,5,22,9
190,Madison,Alabama,November,5,16,3
191,Madison,Alabama,December,8,11,1
192,Marshall,Alabama,May,8,27,16
193,Marshall,Alabama,June,8,31,20
194,Marshall,Alabama,July,8,32,22
195,Marshall,Alabama,August,6,32,22
196,Marshall,Alabama,January,8,10,0
197,Marshall,Alabama,February,8,13,2
198,Marshall,Alabama,March,9,17,6
199,Marshall,Alabama,April,7,22,11
204,Marshall,Alabama,septiembre,5,29,18
205,Marshall,Alabama,October,5,24,12
206,Marshall,Alabama,November,7,17,6
207,Marshall,Alabama,December,8,12,2
208,Mobile,Alabama,May,7,29,18
209,Mobile,Alabama,June,9,32,21
210,Mobile,Alabama,July,12,33,23
211,Mobile,Alabama,August,11,33,23
212,Mobile,Alabama,January,8,16,5
213,Mobile,Alabama,February,6,18,6
214,Mobile,Alabama,March,7,22,10
215,Mobile,Alabama,April,6,26,13
220,Mobile,Alabama,septiembre,7,31,20
221,Mobile,Alabama,October,4,26,14
222,Mobile,Alabama,November,6,21,9
223,Mobile,Alabama,December,7,18,6
224,Montgomery,Alabama,May,6,30,16
225,Montgomery,Alabama,June,8,33,20
226,Montgomery,Alabama,July,9,34,22
227,Montgomery,Alabama,August,7,34,22
228,Montgomery,Alabama,January,7,15,3
229,Montgomery,Alabama,February,7,18,5
230,Montgomery,Alabama,March,6,22,8
231,Montgomery,Alabama,April,6,26,12
236,Montgomery,Alabama,septiembre,5,31,19
237,Montgomery,Alabama,October,4,26,12
238,Montgomery,Alabama,November,5,21,6
239,Montgomery,Alabama,December,7,16,4
240,Morgan,Alabama,May,8,26,12
241,Morgan,Alabama,June,7,30,17
242,Morgan,Alabama,July,7,32,19
243,Morgan,Alabama,August,7,32,18
244,Morgan,Alabama,January,9,9,-2
245,Morgan,Alabama,February,7,12,-1
246,Morgan,Alabama,March,9,17,4
247,Morgan,Alabama,April,7,22,8
252,Morgan,Alabama,septiembre,6,29,15
253,Morgan,Alabama,October,6,23,8
254,Morgan,Alabama,November,7,17,3
255,Morgan,Alabama,December,8,12,-1
272,St Clair,Alabama,May,8,27,14
273,St Clair,Alabama,June,8,31,19
274,St Clair,Alabama,July,8,32,21
275,St Clair,Alabama,August,7,31,20
276,St Clair,Alabama,January,7,11,-1
277,St Clair,Alabama,February,8,15,2
278,St Clair,Alabama,March,9,19,5
279,St Clair,Alabama,April,7,24,9
284,St Clair,Alabama,septiembre,6,29,17
285,St Clair,Alabama,October,5,24,10
286,St Clair,Alabama,November,6,18,3
287,St Clair,Alabama,December,9,14,2
288,Shelby,Alabama,May,8,29,16
289,Shelby,Alabama,June,9,33,20
290,Shelby,Alabama,July,9,34,22
291,Shelby,Alabama,August,8,33,21
292,Shelby,Alabama,January,7,13,1
293,Shelby,Alabama,February,8,15,3
294,Shelby,Alabama,March,9,20,7
295,Shelby,Alabama,April,7,25,11
300,Shelby,Alabama,septiembre,5,31,18
301,Shelby,Alabama,October,5,25,12
302,Shelby,Alabama,November,6,18,5
303,Shelby,Alabama,December,8,14,3
304,Talladega,Alabama,May,7,28,13
305,Talladega,Alabama,June,8,31,18
306,Talladega,Alabama,July,8,33,20
307,Talladega,Alabama,August,7,32,19
308,Talladega,Alabama,January,8,12,-1
309,Talladega,Alabama,February,7,15,1
310,Talladega,Alabama,March,8,20,5
311,Talladega,Alabama,April,7,24,8
316,Talladega,Alabama,septiembre,5,30,16
317,Talladega,Alabama,October,4,25,9
318,Talladega,Alabama,November,6,19,4
319,Talladega,Alabama,December,8,14,1
320,Tuscaloosa,Alabama,May,7,27,13
321,Tuscaloosa,Alabama,June,8,31,18
322,Tuscaloosa,Alabama,July,9,33,20
323,Tuscaloosa,Alabama,August,7,32,20
324,Tuscaloosa,Alabama,January,9,11,-1
325,Tuscaloosa,Alabama,February,8,14,1
326,Tuscaloosa,Alabama,March,9,19,4
327,Tuscaloosa,Alabama,April,7,23,9
332,Tuscaloosa,Alabama,septiembre,6,30,16
333,Tuscaloosa,Alabama,October,5,24,10
334,Tuscaloosa,Alabama,November,7,18,4
335,Tuscaloosa,Alabama,December,8,13,1
336,Walker,Alabama,May,8,27,13
337,Walker,Alabama,June,8,31,18
338,Walker,Alabama,July,9,32,20
339,Walker,Alabama,August,7,32,19
340,Walker,Alabama,January,8,11,-2
341,Walker,Alabama,February,8,14,0
342,Walker,Alabama,March,9,19,4
343,Walker,Alabama,April,7,23,8
348,Walker,Alabama,septiembre,6,29,16
349,Walker,Alabama,October,5,24,9
350,Walker,Alabama,November,7,18,3
351,Walker,Alabama,December,8,13,0
352,Cochise,Arizona,May,2,28,8
353,Cochise,Arizona,June,3,33,13
354,Cochise,Arizona,July,8,32,16
355,Cochise,Arizona,August,8,31,15
356,Cochise,Arizona,January,5,14,-4
357,Cochise,Arizona,February,4,16,-2
358,Cochise,Arizona,March,3,19,0
359,Cochise,Arizona,April,2,23,3
364,Cochise,Arizona,septiembre,4,29,12
365,Cochise,Arizona,October,2,24,6
366,Cochise,Arizona,November,3,18,0
367,Cochise,Arizona,December,4,14,-4
368,Pinal,Arizona,May,1,34,17
369,Pinal,Arizona,June,1,40,22
370,Pinal,Arizona,July,4,40,25
371,Pinal,Arizona,August,6,39,25
372,Pinal,Arizona,January,4,19,4
373,Pinal,Arizona,February,4,21,6
374,Pinal,Arizona,March,4,25,9
375,Pinal,Arizona,April,2,30,12
380,Pinal,Arizona,septiembre,2,37,22
381,Pinal,Arizona,October,2,31,15
382,Pinal,Arizona,November,3,24,8
383,Pinal,Arizona,December,4,18,4
384,Yuma,Arizona,May,0,35,15
385,Yuma,Arizona,June,0,40,19
386,Yuma,Arizona,July,1,42,25
387,Yuma,Arizona,August,2,41,25
388,Yuma,Arizona,January,3,21,2
389,Yuma,Arizona,February,2,23,4
390,Yuma,Arizona,March,2,27,7
391,Yuma,Arizona,April,0,31,10
396,Yuma,Arizona,septiembre,1,39,21
397,Yuma,Arizona,October,0,33,13
398,Yuma,Arizona,November,0,26,6
399,Yuma,Arizona,December,2,20,2
400,Benton,Arkansas,May,10,25,14
401,Benton,Arkansas,June,7,29,19
402,Benton,Arkansas,July,5,32,21
403,Benton,Arkansas,August,5,32,20
404,Benton,Arkansas,January,4,9,-2
405,Benton,Arkansas,February,5,11,0
406,Benton,Arkansas,March,7,16,4
407,Benton,Arkansas,April,8,21,9
412,Benton,Arkansas,septiembre,7,28,16
413,Benton,Arkansas,October,6,22,10
414,Benton,Arkansas,November,6,15,4
415,Benton,Arkansas,December,5,10,0
416,Craighead,Arkansas,May,11,27,15
417,Craighead,Arkansas,June,5,32,20
418,Craighead,Arkansas,July,7,33,22
419,Craighead,Arkansas,August,5,33,21
420,Craighead,Arkansas,January,7,8,-2
421,Craighead,Arkansas,February,6,11,1
422,Craighead,Arkansas,March,11,17,5
423,Craighead,Arkansas,April,10,23,10
428,Craighead,Arkansas,septiembre,4,29,17
429,Craighead,Arkansas,October,7,24,10
430,Craighead,Arkansas,November,7,16,5
431,Craighead,Arkansas,December,9,10,0
432,Faulkner,Arkansas,May,7,27,15
433,Faulkner,Arkansas,June,6,31,19
434,Faulkner,Arkansas,July,6,34,22
435,Faulkner,Arkansas,August,5,34,21
436,Faulkner,Arkansas,January,7,10,-2
437,Faulkner,Arkansas,February,6,13,0
438,Faulkner,Arkansas,March,8,18,5
439,Faulkner,Arkansas,April,7,23,10
444,Faulkner,Arkansas,septiembre,6,30,17
445,Faulkner,Arkansas,October,5,24,10
446,Faulkner,Arkansas,November,6,17,5
447,Faulkner,Arkansas,December,7,12,0
448,Garland,Arkansas,May,8,26,13
449,Garland,Arkansas,June,7,31,17
450,Garland,Arkansas,July,6,33,19
451,Garland,Arkansas,August,5,33,19
452,Garland,Arkansas,January,6,10,-3
453,Garland,Arkansas,February,6,13,-1
454,Garland,Arkansas,March,8,18,3
455,Garland,Arkansas,April,7,23,7
460,Garland,Arkansas,septiembre,6,29,15
461,Garland,Arkansas,October,6,23,8
462,Garland,Arkansas,November,7,17,3
463,Garland,Arkansas,December,7,12,-1
464,Jefferson,Arkansas,May,8,28,17
465,Jefferson,Arkansas,June,6,32,21
466,Jefferson,Arkansas,July,6,34,23
467,Jefferson,Arkansas,August,5,33,22
468,Jefferson,Arkansas,January,7,11,1
469,Jefferson,Arkansas,February,6,14,3
470,Jefferson,Arkansas,March,8,19,8
471,Jefferson,Arkansas,April,7,24,12
476,Jefferson,Arkansas,septiembre,5,30,18
477,Jefferson,Arkansas,October,5,24,12
478,Jefferson,Arkansas,November,6,18,7
479,Jefferson,Arkansas,December,7,13,3
480,Lonoke,Arkansas,May,8,27,16
481,Lonoke,Arkansas,June,6,31,20
482,Lonoke,Arkansas,July,6,32,22
483,Lonoke,Arkansas,August,4,32,21
484,Lonoke,Arkansas,January,6,9,0
485,Lonoke,Arkansas,February,7,12,2
486,Lonoke,Arkansas,March,8,18,6
487,Lonoke,Arkansas,April,7,23,11
492,Lonoke,Arkansas,septiembre,5,29,17
493,Lonoke,Arkansas,October,5,24,11
494,Lonoke,Arkansas,November,6,16,6
495,Lonoke,Arkansas,December,7,11,2
496,Pulaski,Arkansas,May,8,27,16
497,Pulaski,Arkansas,June,6,32,20
498,Pulaski,Arkansas,July,6,34,23
499,Pulaski,Arkansas,August,5,33,22
500,Pulaski,Arkansas,January,6,10,0
501,Pulaski,Arkansas,February,6,13,2
502,Pulaski,Arkansas,March,8,18,6
503,Pulaski,Arkansas,April,7,23,11
508,Pulaski,Arkansas,septiembre,5,30,18
509,Pulaski,Arkansas,October,6,24,11
510,Pulaski,Arkansas,November,6,17,6
511,Pulaski,Arkansas,December,7,12,1
512,Saline,Arkansas,May,7,28,15
513,Saline,Arkansas,June,6,32,19
514,Saline,Arkansas,July,5,34,21
515,Saline,Arkansas,August,4,34,20
516,Saline,Arkansas,January,6,11,-1
517,Saline,Arkansas,February,5,14,1
518,Saline,Arkansas,March,7,19,5
519,Saline,Arkansas,April,6,24,10
524,Saline,Arkansas,septiembre,5,30,16
525,Saline,Arkansas,October,5,24,10
526,Saline,Arkansas,November,6,18,5
527,Saline,Arkansas,December,6,13,0
528,Sebastian,Arkansas,May,7,27,14
529,Sebastian,Arkansas,June,6,31,19
530,Sebastian,Arkansas,July,4,34,21
531,Sebastian,Arkansas,August,4,34,20
532,Sebastian,Arkansas,January,4,11,-3
533,Sebastian,Arkansas,February,4,14,-1
534,Sebastian,Arkansas,March,6,19,4
535,Sebastian,Arkansas,April,6,24,8
540,Sebastian,Arkansas,septiembre,5,30,16
541,Sebastian,Arkansas,October,5,25,9
542,Sebastian,Arkansas,November,5,18,3
543,Sebastian,Arkansas,December,5,12,-1
544,Washington,Arkansas,May,9,24,12
545,Washington,Arkansas,June,7,29,17
546,Washington,Arkansas,July,5,31,19
547,Washington,Arkansas,August,5,31,18
548,Washington,Arkansas,January,5,8,-5
549,Washington,Arkansas,February,5,10,-2
550,Washington,Arkansas,March,8,15,2
551,Washington,Arkansas,April,8,21,7
556,Washington,Arkansas,septiembre,6,27,14
557,Washington,Arkansas,October,6,21,7
558,Washington,Arkansas,November,6,15,2
559,Washington,Arkansas,December,6,9,-3
560,White,Arkansas,May,8,28,15
561,White,Arkansas,June,6,32,19
562,White,Arkansas,July,6,34,21
563,White,Arkansas,August,5,33,20
564,White,Arkansas,January,7,10,-2
565,White,Arkansas,February,6,13,0
566,White,Arkansas,March,8,18,5
567,White,Arkansas,April,7,23,10
572,White,Arkansas,septiembre,5,30,17
573,White,Arkansas,October,6,24,10
574,White,Arkansas,November,7,17,4
575,White,Arkansas,December,7,11,0
576,Alameda,California,May,3,25,9
577,Alameda,California,June,0,29,11
578,Alameda,California,July,0,32,13
579,Alameda,California,August,0,31,12
580,Alameda,California,January,10,13,3
581,Alameda,California,February,10,16,4
582,Alameda,California,March,9,18,5
583,Alameda,California,April,6,21,6
588,Alameda,California,septiembre,0,30,12
589,Alameda,California,October,2,25,9
590,Alameda,California,November,5,18,5
591,Alameda,California,December,11,14,3
592,Butte,California,May,3,25,9
593,Butte,California,June,2,30,12
594,Butte,California,July,0,33,14
595,Butte,California,August,0,33,13
596,Butte,California,January,8,11,1
597,Butte,California,February,8,14,3
598,Butte,California,March,8,17,4
599,Butte,California,April,4,20,6
604,Butte,California,septiembre,0,29,11
605,Butte,California,October,3,23,7
606,Butte,California,November,6,16,3
607,Butte,California,December,9,11,1
608,Contra Costa,California,May,2,21,14
609,Contra Costa,California,June,0,26,19
610,Contra Costa,California,July,0,31,24
611,Contra Costa,California,August,0,30,23
612,Contra Costa,California,January,9,13,8
613,Contra Costa,California,February,8,13,8
614,Contra Costa,California,March,8,15,9
615,Contra Costa,California,April,4,16,9
620,Contra Costa,California,septiembre,0,27,21
621,Contra Costa,California,October,2,22,15
622,Contra Costa,California,November,6,16,11
623,Contra Costa,California,December,8,13,8
624,El Dorado,California,May,4,20,3
625,El Dorado,California,June,2,26,7
626,El Dorado,California,July,0,30,10
627,El Dorado,California,August,0,30,10
628,El Dorado,California,January,10,11,-2
629,El Dorado,California,February,9,11,-3
630,El Dorado,California,March,11,14,-1
631,El Dorado,California,April,7,15,0
636,El Dorado,California,septiembre,2,27,8
637,El Dorado,California,October,4,21,3
638,El Dorado,California,November,8,14,-1
639,El Dorado,California,December,10,10,-3
640,Fresno,California,May,2,22,13
641,Fresno,California,June,0,29,19
642,Fresno,California,July,0,33,22
643,Fresno,California,August,0,33,22
644,Fresno,California,January,7,14,6
645,Fresno,California,February,8,13,5
646,Fresno,California,March,8,15,7
647,Fresno,California,April,5,17,8
652,Fresno,California,septiembre,1,30,19
653,Fresno,California,October,2,23,14
654,Fresno,California,November,4,17,9
655,Fresno,California,December,6,13,6
656,Humboldt,California,May,5,20,8
657,Humboldt,California,June,2,23,10
658,Humboldt,California,July,0,27,13
659,Humboldt,California,August,2,27,13
660,Humboldt,California,January,12,14,7
661,Humboldt,California,February,11,15,6
662,Humboldt,California,March,13,17,6
663,Humboldt,California,April,9,17,6
668,Humboldt,California,septiembre,2,26,13
669,Humboldt,California,October,5,22,10
670,Humboldt,California,November,11,17,8
671,Humboldt,California,December,13,15,7
672,Imperial,California,May,0,34,15
673,Imperial,California,June,0,40,19
674,Imperial,California,July,0,42,24
675,Imperial,California,August,0,41,24
676,Imperial,California,January,2,21,4
677,Imperial,California,February,2,23,6
678,Imperial,California,March,2,26,9
679,Imperial,California,April,0,30,11
684,Imperial,California,septiembre,0,39,21
685,Imperial,California,October,0,33,15
686,Imperial,California,November,0,26,8
687,Imperial,California,December,2,21,4
688,Kings,California,May,2,29,13
689,Kings,California,June,0,34,17
690,Kings,California,July,0,38,20
691,Kings,California,August,0,37,19
692,Kings,California,January,4,14,2
693,Kings,California,February,4,17,4
694,Kings,California,March,4,21,6
695,Kings,California,April,4,24,8
700,Kings,California,septiembre,1,34,16
701,Kings,California,October,2,27,10
702,Kings,California,November,4,20,5
703,Kings,California,December,6,14,2
704,Lake,California,May,2,25,7
705,Lake,California,June,0,30,10
706,Lake,California,July,0,34,13
707,Lake,California,August,0,34,12
708,Lake,California,January,9,13,0
709,Lake,California,February,8,15,2
710,Lake,California,March,7,17,3
711,Lake,California,April,4,21,4
716,Lake,California,septiembre,2,31,10
717,Lake,California,October,3,24,6
718,Lake,California,November,7,16,3
719,Lake,California,December,8,13,0
720,Los Angeles,California,May,1,24,15
721,Los Angeles,California,June,1,26,17
722,Los Angeles,California,July,0,29,18
723,Los Angeles,California,August,0,29,19
724,Los Angeles,California,January,6,20,10
725,Los Angeles,California,February,6,21,10
726,Los Angeles,California,March,5,21,11
727,Los Angeles,California,April,3,23,13
732,Los Angeles,California,septiembre,1,29,18
733,Los Angeles,California,October,2,26,16
734,Los Angeles,California,November,3,23,12
735,Los Angeles,California,December,5,20,9
736,Madera,California,May,2,25,7
737,Madera,California,June,1,30,11
738,Madera,California,July,0,35,14
739,Madera,California,August,0,34,14
740,Madera,California,January,6,14,-1
741,Madera,California,February,7,15,0
742,Madera,California,March,8,16,2
743,Madera,California,April,5,19,3
748,Madera,California,septiembre,2,31,11
749,Madera,California,October,3,25,6
750,Madera,California,November,4,18,2
751,Madera,California,December,6,14,-1
752,Marin,California,May,2,20,8
753,Marin,California,June,2,23,10
754,Marin,California,July,0,25,11
755,Marin,California,August,0,25,11
756,Marin,California,January,8,14,6
757,Marin,California,February,7,15,6
758,Marin,California,March,9,17,7
759,Marin,California,April,5,18,7
764,Marin,California,septiembre,0,26,12
765,Marin,California,October,4,23,11
766,Marin,California,November,6,18,8
767,Marin,California,December,9,14,6
768,Mendocino,California,May,4,22,8
769,Mendocino,California,June,2,27,10
770,Mendocino,California,July,0,33,14
771,Mendocino,California,August,0,32,14
772,Mendocino,California,January,12,13,4
773,Mendocino,California,February,11,13,3
774,Mendocino,California,March,12,15,4
775,Mendocino,California,April,7,18,5
780,Mendocino,California,septiembre,2,30,13
781,Mendocino,California,October,5,23,9
782,Mendocino,California,November,10,15,6
783,Mendocino,California,December,13,12,3
784,Merced,California,May,2,28,10
785,Merced,California,June,0,33,13
786,Merced,California,July,0,36,15
787,Merced,California,August,0,35,14
788,Merced,California,January,5,14,3
789,Merced,California,February,6,17,4
790,Merced,California,March,5,20,7
791,Merced,California,April,3,23,8
796,Merced,California,septiembre,0,32,12
797,Merced,California,October,3,26,9
798,Merced,California,November,3,19,5
799,Merced,California,December,5,14,3
800,Monterey,California,May,0,27,7
801,Monterey,California,June,0,32,9
802,Monterey,California,July,0,34,11
803,Monterey,California,August,0,34,11
804,Monterey,California,January,6,17,3
805,Monterey,California,February,5,17,4
806,Monterey,California,March,7,21,5
807,Monterey,California,April,3,23,5
812,Monterey,California,septiembre,0,32,10
813,Monterey,California,October,3,27,8
814,Monterey,California,November,3,21,5
815,Monterey,California,December,5,16,3
816,Napa,California,May,2,26,9
817,Napa,California,June,0,30,12
818,Napa,California,July,0,34,14
819,Napa,California,August,0,33,13
820,Napa,California,January,8,13,2
821,Napa,California,February,8,15,3
822,Napa,California,March,7,18,4
823,Napa,California,April,4,21,6
828,Napa,California,septiembre,1,31,11
829,Napa,California,October,2,25,8
830,Napa,California,November,6,18,5
831,Napa,California,December,8,13,2
832,Nevada,California,May,4,23,9
833,Nevada,California,June,3,28,13
834,Nevada,California,July,0,33,15
835,Nevada,California,August,0,32,15
836,Nevada,California,January,10,14,2
837,Nevada,California,February,9,15,3
838,Nevada,California,March,10,16,4
839,Nevada,California,April,6,19,6
844,Nevada,California,septiembre,2,29,12
845,Nevada,California,October,4,24,8
846,Nevada,California,November,8,17,4
847,Nevada,California,December,10,13,2
848,Orange,California,May,0,23,13
849,Orange,California,June,0,26,15
850,Orange,California,July,0,28,17
851,Orange,California,August,0,29,18
852,Orange,California,January,5,20,7
853,Orange,California,February,5,21,8
854,Orange,California,March,5,21,9
855,Orange,California,April,2,23,11
860,Orange,California,septiembre,0,28,17
861,Orange,California,October,1,26,14
862,Orange,California,November,2,23,9
863,Orange,California,December,3,20,7
864,Placer,California,May,4,22,10
865,Placer,California,June,2,27,15
866,Placer,California,July,0,32,19
867,Placer,California,August,0,32,18
868,Placer,California,January,9,13,4
869,Placer,California,February,9,13,4
870,Placer,California,March,10,15,5
871,Placer,California,April,6,17,6
876,Placer,California,septiembre,2,29,16
877,Placer,California,October,4,23,11
878,Placer,California,November,8,16,7
879,Placer,California,December,9,12,4
880,Sacramento,California,May,2,25,9
881,Sacramento,California,June,0,30,12
882,Sacramento,California,July,0,35,15
883,Sacramento,California,August,0,34,14
884,Sacramento,California,January,7,13,3
885,Sacramento,California,February,7,16,4
886,Sacramento,California,March,7,18,6
887,Sacramento,California,April,3,21,7
892,Sacramento,California,septiembre,1,32,13
893,Sacramento,California,October,2,25,10
894,Sacramento,California,November,5,18,6
895,Sacramento,California,December,7,13,4
896,San Diego,California,May,0,21,15
897,San Diego,California,June,0,22,17
898,San Diego,California,July,0,24,19
899,San Diego,California,August,0,25,20
900,San Diego,California,January,4,19,10
901,San Diego,California,February,4,19,11
902,San Diego,California,March,4,19,12
903,San Diego,California,April,2,20,14
908,San Diego,California,septiembre,0,25,19
909,San Diego,California,October,1,23,16
910,San Diego,California,November,2,21,12
911,San Diego,California,December,4,19,10
912,San Francisco,California,May,2,18,11
913,San Francisco,California,June,0,19,12
914,San Francisco,California,July,0,19,12
915,San Francisco,California,August,0,20,13
916,San Francisco,California,January,8,14,8
917,San Francisco,California,February,8,16,9
918,San Francisco,California,March,8,17,10
919,San Francisco,California,April,4,17,10
924,San Francisco,California,septiembre,0,21,13
925,San Francisco,California,October,2,21,13
926,San Francisco,California,November,6,18,11
927,San Francisco,California,December,8,14,8
928,San Joaquin,California,May,2,28,11
929,San Joaquin,California,June,0,32,14
930,San Joaquin,California,July,0,35,16
931,San Joaquin,California,August,0,34,16
932,San Joaquin,California,January,7,13,3
933,San Joaquin,California,February,6,17,5
934,San Joaquin,California,March,6,19,6
935,San Joaquin,California,April,3,23,8
940,San Joaquin,California,septiembre,0,32,14
941,San Joaquin,California,October,2,26,10
942,San Joaquin,California,November,4,18,6
943,San Joaquin,California,December,6,13,3
944,San Luis Obispo,California,May,2,24,7
945,San Luis Obispo,California,June,0,27,9
946,San Luis Obispo,California,July,0,29,10
947,San Luis Obispo,California,August,0,30,10
948,San Luis Obispo,California,January,6,18,3
949,San Luis Obispo,California,February,7,18,3
950,San Luis Obispo,California,March,6,20,4
951,San Luis Obispo,California,April,3,21,5
956,San Luis Obispo,California,septiembre,0,29,10
957,San Luis Obispo,California,October,2,26,8
958,San Luis Obispo,California,November,3,21,5
959,San Luis Obispo,California,December,5,17,3
960,San Mateo,California,May,2,15,8
961,San Mateo,California,June,1,16,9
962,San Mateo,California,July,0,17,10
963,San Mateo,California,August,0,18,11
964,San Mateo,California,January,9,14,5
965,San Mateo,California,February,9,14,5
966,San Mateo,California,March,9,15,6
967,San Mateo,California,April,5,15,6
972,San Mateo,California,septiembre,1,18,10
